NAICS_Subsector_Desc,LoanCount,NetDollars,PctOfAmount
Health Care and Social Assistance,487386,66582598125,12.93
"Professional, Scientific, and Technical Services",608025,65620738481,12.74
Construction,446670,63921963658,12.41
Manufacturing,223452,53620614368,10.41
Accommodation and Food Services,354085,41498140735,8.06
Retail Trade,432933,39907699244,7.75
Other Services (except Public Administration),498756,30513851152,5.93
Wholesale Trade,161883,27514653734,5.34
Administrative and Support and Waste Management and Remediation Services,230321,26167415058,5.08
Transportation and Warehousing,171051,16605493181,3.22
Real Estate and Rental and Leasing,232660,15329408006,2.98
Finance and Insurance,161053,12034233705,2.34
Educational Services,76832,11828903631,2.3
Unclassified Establishments,222226,9916122340,1.93
Information,65837,9134891250,1.77
"Arts, Entertainment, and Recreation",110809,7800534098,1.51
"Agriculture, Forestry, Fishing and Hunting",132564,7726040628,1.5
Mining,20990,4472952752,0.87
Public Administration,12835,1714610439,0.33
Management of Companies and Enterprises,8571,1569618147,0.3
Utilities,7621,1459307183,0.28
