NAICS_Subsector_Desc,LoanCount,NetDollars,PctOfAmount
Health Care and Social Assistance,479650,66292313990,12.94
"Professional, Scientific, and Technical Services",595293,65309212473,12.75
Construction,438921,63649725461,12.42
Manufacturing,221051,53513293921,10.45
Accommodation and Food Services,347553,41177730603,8.04
Retail Trade,425701,39729580053,7.76
Other Services (except Public Administration),484161,30198840159,5.9
Wholesale Trade,159639,27417933285,5.35
Administrative and Support and Waste Management and Remediation Services,226726,26050426337,5.09
Transportation and Warehousing,161794,16386158203,3.2
Real Estate and Rental and Leasing,227717,15212964843,2.97
Finance and Insurance,157874,11972703265,2.34
Educational Services,75139,11777762272,2.3
Unclassified Establishments,222980,9938249311,1.94
Information,64627,9085575653,1.77
"Arts, Entertainment, and Recreation",107810,7714593398,1.51
"Agriculture, Forestry, Fishing and Hunting",130512,7656804061,1.49
Mining,20743,4470882471,0.87
Public Administration,12590,1705345108,0.33
Management of Companies and Enterprises,8417,1559460156,0.3
Utilities,7490,1452129120,0.28
