Rank,LenderName,LoanCount,NetDollars,AvgLoanSize,PctofTotalAuthority
1,,254512,28586582257,112319,4.3
2,,322511,24876652863,77134,3.8
3,,72458,13047110929,180064,2.0
4,,72348,12918975156,178567,2.0
5,,170121,10192114834,59911,1.5
6,,78621,8359046365,106321,1.3
7,,39206,8027842402,204761,1.2
8,,89147,6980256814,78301,1.1
9,,43220,6896453654,159566,1.0
10,,34649,6788756086,195929,1.0
11,,35605,6501834639,182610,1.0
12,,35947,5517455393,153489,0.8
13,,48663,5032522687,103416,0.8
14,,20516,4763734944,232196,0.7
15,,42706,4604881136,107827,0.7
