NAICS_Subsector_Desc,LoanCount,NetDollars,PctOfAmount
Health Care and Social Assistance,470369,65928653513,12.96
"Professional, Scientific, and Technical Services",581708,65086484846,12.79
Construction,429185,63441199379,12.47
Manufacturing,218021,53490261475,10.51
Accommodation and Food Services,339642,40907011686,8.04
Retail Trade,416972,39625529718,7.79
Other Services (except Public Administration),468297,29878333377,5.87
Wholesale Trade,157079,27382331546,5.38
Administrative and Support and Waste Management and Remediation Services,223910,26055244298,5.12
Transportation and Warehousing,152461,16157416945,3.18
Real Estate and Rental and Leasing,221738,15154047215,2.98
Finance and Insurance,154191,11934915042,2.35
Educational Services,73098,11735623051,2.31
Information,63252,9092576913,1.79
"Arts, Entertainment, and Recreation",104445,7634370139,1.5
"Agriculture, Forestry, Fishing and Hunting",127465,7578090541,1.49
To be confirmed,135950,6038853464,1.19
Mining,20389,4467023832,0.88
Unclassified Establishments,89536,3951229266,0.78
Public Administration,12359,1713673248,0.34
Management of Companies and Enterprises,8195,1548656297,0.3
Utilities,7337,1432973132,0.28
